text,true_label,pred_label,confidence,margin,run_id,True_Label_Name,Pred_Label_Name,correct,error_type
"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with",2,2,0.83529586,0.6796743,baseline,neutral,neutral,1,ok
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,2,2,0.9334877,0.8819297,baseline,neutral,neutral,1,ok
Most of the dividend will go to the Grimaldi family .,2,2,0.9564992,0.931557,baseline,neutral,neutral,1,ok
The total value of these two contracts is over EUR 21 million .,2,2,0.92744106,0.8686402,baseline,neutral,neutral,1,ok
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",0,0,0.957461,0.9305067,baseline,positive,positive,1,ok
"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",0,0,0.9469182,0.9109373,baseline,positive,positive,1,ok
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",0,0,0.95432216,0.930587,baseline,positive,positive,1,ok
"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",2,2,0.9493597,0.922486,baseline,neutral,neutral,1,ok
"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail .",2,2,0.95088696,0.92056507,baseline,neutral,neutral,1,ok
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",0,0,0.95389915,0.92737985,baseline,positive,positive,1,ok
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,2,2,0.8952082,0.8171518,baseline,neutral,neutral,1,ok
"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group .",2,2,0.92827845,0.8669201,baseline,neutral,neutral,1,ok
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",2,2,0.920394,0.8512102,baseline,neutral,neutral,1,ok
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",0,0,0.95333695,0.9262163,baseline,positive,positive,1,ok
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",0,0,0.9442791,0.913171,baseline,positive,positive,1,ok
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",0,0,0.94987935,0.92242366,baseline,positive,positive,1,ok
"UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",2,2,0.9519259,0.9264966,baseline,neutral,neutral,1,ok
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",0,0,0.95888853,0.93468016,baseline,positive,positive,1,ok
"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million .",2,2,0.9386732,0.90646,baseline,neutral,neutral,1,ok
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",1,1,0.9745242,0.9562434,baseline,negative,negative,1,ok
The first stage of the contract covers 133 stores and 600 cash registers .,2,2,0.93328476,0.8786854,baseline,neutral,neutral,1,ok
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,0,0,0.95204353,0.92752814,baseline,positive,positive,1,ok
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",0,0,0.94360065,0.9047489,baseline,positive,positive,1,ok
The enterprise value of Maritim Food AS has been determined as approximately EUR15m .,2,2,0.9418259,0.8964837,baseline,neutral,neutral,1,ok
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",0,0,0.9245228,0.85954195,baseline,positive,positive,1,ok
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",1,1,0.9766068,0.96278155,baseline,negative,negative,1,ok
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",1,1,0.97590774,0.96301466,baseline,negative,negative,1,ok
"The final price will be specified by 14 May 2010 , the acquiring company said .",2,2,0.9427544,0.89825225,baseline,neutral,neutral,1,ok
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",2,2,0.93943083,0.89210594,baseline,neutral,neutral,1,ok
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,1,1,0.9722768,0.9527453,baseline,negative,negative,1,ok
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",2,2,0.9581547,0.93534756,baseline,neutral,neutral,1,ok
"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .",0,0,0.9527983,0.9262838,baseline,positive,positive,1,ok
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on th,2,2,0.9405937,0.902347,baseline,neutral,neutral,1,ok
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,0,0,0.9564406,0.93324804,baseline,positive,positive,1,ok
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",1,1,0.9655091,0.94413775,baseline,negative,negative,1,ok
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,1,1,0.9746688,0.9601746,baseline,negative,negative,1,ok
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,2,2,0.94905555,0.9193294,baseline,neutral,neutral,1,ok
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",1,1,0.97516906,0.9596439,baseline,negative,negative,1,ok
"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",2,2,0.6637926,0.3356646,baseline,neutral,neutral,1,ok
"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",2,2,0.94453746,0.90375847,baseline,neutral,neutral,1,ok
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",2,2,0.9335439,0.88113195,baseline,neutral,neutral,1,ok
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",1,1,0.9759788,0.95949745,baseline,negative,negative,1,ok
"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets .",2,2,0.86162686,0.7318423,baseline,neutral,neutral,1,ok
Net sales have been eaten by the weak US dollar .,1,1,0.97389764,0.9554607,baseline,negative,negative,1,ok
Productional situation has now improved .,0,0,0.9586609,0.93431944,baseline,positive,positive,1,ok
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,2,2,0.9439314,0.90774846,baseline,neutral,neutral,1,ok
The energy shot is packed in a 100-millilitre bag with a screw cap .,2,2,0.9426046,0.90488774,baseline,neutral,neutral,1,ok
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,2,2,0.8696898,0.7489524,baseline,neutral,neutral,1,ok
"The value of the order is EUR 700,000 .",2,2,0.9320377,0.8759207,baseline,neutral,neutral,1,ok
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",2,2,0.92545855,0.87203956,baseline,neutral,neutral,1,ok
Return on capital employed rose by 4.8 percentage points to 19.6 % .,0,0,0.9538677,0.92845917,baseline,positive,positive,1,ok
The company says the measures are no longer needed .,2,2,0.6902969,0.41510215,baseline,neutral,neutral,1,ok
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .,1,1,0.97526544,0.9573849,baseline,negative,negative,1,ok
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 m",1,1,0.9756988,0.95954585,baseline,negative,negative,1,ok
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,1,1,0.971374,0.94878525,baseline,negative,negative,1,ok
The trade is in accordance with the agreement announced on 26 March 2008 .,2,2,0.9142556,0.8400236,baseline,neutral,neutral,1,ok
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",2,2,0.95265496,0.9263194,baseline,neutral,neutral,1,ok
The total capacity of the factory will be approximately 100 engines a year .,2,2,0.8800709,0.7692594,baseline,neutral,neutral,1,ok
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,1,1,0.97109354,0.9499924,baseline,negative,negative,1,ok
The maximum number of new shares to be offered is 22 million .,2,2,0.9532604,0.92223406,baseline,neutral,neutral,1,ok
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",0,0,0.8789884,0.76589996,baseline,positive,positive,1,ok
GyPSii service supports ten different languages including Korean and Russian .,2,2,0.9359482,0.88398933,baseline,neutral,neutral,1,ok
No changes in media activity were seen in October compared with September .,2,1,0.69428873,0.41885474,baseline,neutral,negative,0,misclassification
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",2,2,0.85345656,0.71451163,baseline,neutral,neutral,1,ok
VNH generates annual net sales of about 5 mln eur and employs 21 people .,2,2,0.9459455,0.9085884,baseline,neutral,neutral,1,ok
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .,2,2,0.94874746,0.9210717,baseline,neutral,neutral,1,ok
"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .",2,2,0.90866566,0.84261835,baseline,neutral,neutral,1,ok
"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",2,2,0.943364,0.90515107,baseline,neutral,neutral,1,ok
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",0,0,0.9296153,0.8768843,baseline,positive,positive,1,ok
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",1,1,0.9767641,0.9622326,baseline,negative,negative,1,ok
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",2,2,0.9528679,0.92581,baseline,neutral,neutral,1,ok
The transaction is expected to be completed next spring .,2,2,0.92965776,0.8717864,baseline,neutral,neutral,1,ok
"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .",2,2,0.94377434,0.91201544,baseline,neutral,neutral,1,ok
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,1,1,0.97570646,0.95810187,baseline,negative,negative,1,ok
Almost the entire office building will be occupied by Metso .,2,2,0.95795655,0.93119,baseline,neutral,neutral,1,ok
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,2,2,0.9336706,0.8831771,baseline,neutral,neutral,1,ok
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2",1,0,0.93439037,0.8886413,baseline,negative,positive,0,misclassification
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,2,2,0.87909526,0.80659366,baseline,neutral,neutral,1,ok
The expanded plant is scheduled to be operational by the middle of October 2009 .,2,2,0.79060435,0.5909035,baseline,neutral,neutral,1,ok
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",1,1,0.9740538,0.9543513,baseline,negative,negative,1,ok
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",0,0,0.95238835,0.92445236,baseline,positive,positive,1,ok
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,0,0,0.8933432,0.793552,baseline,positive,positive,1,ok
Finnish media group Talentum has issued a profit warning .,1,1,0.9647683,0.93706095,baseline,negative,negative,1,ok
"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .",2,2,0.8360201,0.6882774,baseline,neutral,neutral,1,ok
"BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million .",2,2,0.9375928,0.8938122,baseline,neutral,neutral,1,ok
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",2,2,0.95143044,0.919972,baseline,neutral,neutral,1,ok
The sellers were EOSS Innovationsmanagement and a group of private individuals .,2,2,0.94967926,0.923319,baseline,neutral,neutral,1,ok
This resulted in improved sales figures in Sweden .,0,0,0.9570392,0.9301331,baseline,positive,positive,1,ok
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",0,0,0.93938935,0.903951,baseline,positive,positive,1,ok
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,1,1,0.97378224,0.955286,baseline,negative,negative,1,ok
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,0,0,0.9523037,0.9202606,baseline,positive,positive,1,ok
The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 .,0,0,0.93915284,0.90377724,baseline,positive,positive,1,ok
Earnings per share EPS amounted to EUR0 .01 .,2,2,0.9109905,0.84488404,baseline,neutral,neutral,1,ok
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,1,1,0.9691149,0.9510472,baseline,negative,negative,1,ok
Work on the assignment has already started and is due for completion in spring 2011 .,2,2,0.8749753,0.7648202,baseline,neutral,neutral,1,ok
The value of the contracts is about EUR 3.3 mn .,2,2,0.94341826,0.90947783,baseline,neutral,neutral,1,ok
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,1,1,0.9764089,0.95981735,baseline,negative,negative,1,ok
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",0,0,0.95857054,0.9365239,baseline,positive,positive,1,ok
"The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting , scheduled to be held on March 23 , 2009 .",2,2,0.9303644,0.8758848,baseline,neutral,neutral,1,ok
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",2,2,0.92646194,0.8670774,baseline,neutral,neutral,1,ok
"LCS 's services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support .",2,2,0.95110714,0.92072314,baseline,neutral,neutral,1,ok
"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",2,2,0.94633406,0.9129795,baseline,neutral,neutral,1,ok
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .,1,1,0.9765217,0.96066296,baseline,negative,negative,1,ok
"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",2,2,0.89919525,0.8086354,baseline,neutral,neutral,1,ok
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,2,2,0.9155957,0.8509727,baseline,neutral,neutral,1,ok
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",1,1,0.9762541,0.96253496,baseline,negative,negative,1,ok
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",2,2,0.94164896,0.90268904,baseline,neutral,neutral,1,ok
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",2,2,0.9214492,0.8528542,baseline,neutral,neutral,1,ok
Closing of such transaction took place today .,2,2,0.94832724,0.9152028,baseline,neutral,neutral,1,ok
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,0,0,0.9520084,0.92245144,baseline,positive,positive,1,ok
Delivery is expected to take place later this month .,2,2,0.94692254,0.9100378,baseline,neutral,neutral,1,ok
"The number of class A shares remains unchanged at 9,526,089 shares .",2,2,0.9182871,0.86917114,baseline,neutral,neutral,1,ok
Technopolis has approximately 130 customer companies in Jyvaskyla .,2,2,0.9325788,0.8778195,baseline,neutral,neutral,1,ok
Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .,0,0,0.9395395,0.891205,baseline,positive,positive,1,ok
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",0,0,0.9442526,0.9038421,baseline,positive,positive,1,ok
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,0,0,0.95526063,0.93060666,baseline,positive,positive,1,ok
"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",2,2,0.89377123,0.8068546,baseline,neutral,neutral,1,ok
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,2,2,0.9552503,0.93214965,baseline,neutral,neutral,1,ok
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,2,2,0.93186206,0.8825114,baseline,neutral,neutral,1,ok
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,0,0,0.94189763,0.9124586,baseline,positive,positive,1,ok
"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",0,0,0.94738656,0.9180597,baseline,positive,positive,1,ok
Completion of the transaction is subject to a final agreement and a Due Diligence process .,2,2,0.93787676,0.8945336,baseline,neutral,neutral,1,ok
Viking Line manages well with its current ferries .,0,0,0.9432084,0.89674896,baseline,positive,positive,1,ok
"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",2,2,0.6373889,0.31977662,baseline,neutral,neutral,1,ok
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,2,2,0.94946903,0.91758007,baseline,neutral,neutral,1,ok
Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights .,2,2,0.9452135,0.9031279,baseline,neutral,neutral,1,ok
The order also includes start-up and commissioning services .,2,2,0.91805637,0.8461553,baseline,neutral,neutral,1,ok
"The objective is that trading in the shares will commence on May 2 , 2007 .",2,2,0.95096123,0.91490257,baseline,neutral,neutral,1,ok
"The figure includes the change in the fair value of the property portfolio , EUR 26.2 million .",2,2,0.9132,0.8681475,baseline,neutral,neutral,1,ok
The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .,2,2,0.92286557,0.8840561,baseline,neutral,neutral,1,ok
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,0,0,0.9509332,0.92497635,baseline,positive,positive,1,ok
"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",0,0,0.93003917,0.87274885,baseline,positive,positive,1,ok
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",2,2,0.8704505,0.752381,baseline,neutral,neutral,1,ok
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",2,2,0.7782953,0.5654948,baseline,neutral,neutral,1,ok
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",2,2,0.92970026,0.87289387,baseline,neutral,neutral,1,ok
It estimates the operating profit to further improve from the third quarter .,0,0,0.95654416,0.9335545,baseline,positive,positive,1,ok
"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",0,0,0.9525003,0.92680204,baseline,positive,positive,1,ok
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",1,1,0.9770231,0.9628271,baseline,negative,negative,1,ok
"In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010 .",2,0,0.80710083,0.7060371,baseline,neutral,positive,0,misclassification
"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .",2,2,0.9056132,0.8359998,baseline,neutral,neutral,1,ok
